               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.016949,            0.039104,           0.0061019,             0.94776,             0.97056,             0.98352,              0.8276,           0.0097492,            0.019363,           0.0016845,            0.002872,            0.002872,            0.002872
                  74,            0.015893,            0.033358,           0.0072949,              0.9532,             0.97012,              0.9838,             0.82564,            0.012606,            0.019219,           0.0014937,            0.002773,            0.002773,            0.002773
                  75,             0.01642,            0.032671,           0.0078304,             0.95293,             0.96729,             0.98343,              0.8327,            0.011029,             0.01931,           0.0015646,            0.002674,            0.002674,            0.002674
                  76,            0.015509,            0.034895,           0.0062021,             0.95322,             0.96572,             0.98361,             0.83635,            0.010215,            0.018879,           0.0015441,            0.002575,            0.002575,            0.002575
                  77,            0.016523,            0.034726,           0.0073397,             0.95116,              0.9738,             0.98355,             0.82763,            0.011194,            0.019785,           0.0014453,            0.002476,            0.002476,            0.002476
                  78,            0.017349,            0.041619,           0.0074415,             0.94801,              0.9665,             0.98298,             0.82353,           0.0099661,            0.019488,           0.0015205,            0.002377,            0.002377,            0.002377
                  79,            0.017105,            0.036991,           0.0088023,             0.95004,             0.96652,             0.98391,             0.82131,            0.010527,            0.019158,           0.0014543,            0.002278,            0.002278,            0.002278
                  80,            0.017035,            0.037156,           0.0076797,             0.94955,             0.96626,             0.98348,             0.81144,            0.010516,            0.019852,           0.0014392,            0.002179,            0.002179,            0.002179
                  81,             0.01648,            0.036964,           0.0063573,             0.95737,             0.96355,             0.98389,             0.83623,           0.0092218,            0.018924,           0.0014367,             0.00208,             0.00208,             0.00208
                  82,            0.015227,            0.035783,           0.0064595,             0.95527,             0.96371,             0.98437,             0.82697,           0.0094291,            0.018965,            0.001407,            0.001981,            0.001981,            0.001981
                  83,             0.01581,            0.038884,           0.0071585,              0.9555,             0.96823,             0.98524,             0.84059,           0.0098046,            0.018751,           0.0013983,            0.001882,            0.001882,            0.001882
                  84,            0.015576,             0.03965,           0.0062636,             0.95783,             0.96742,             0.98564,             0.83406,            0.009309,            0.018685,           0.0014258,            0.001783,            0.001783,            0.001783
                  85,            0.014172,            0.030866,           0.0069699,             0.95693,             0.96874,             0.98513,             0.83636,           0.0096845,              0.0187,           0.0014504,            0.001684,            0.001684,            0.001684
                  86,            0.015183,            0.034599,           0.0069266,             0.96018,             0.97029,             0.98531,             0.83489,           0.0091488,            0.018863,           0.0014317,            0.001585,            0.001585,            0.001585
                  87,            0.014562,            0.035904,           0.0059577,             0.95094,             0.96963,             0.98567,             0.83796,           0.0094997,             0.01897,           0.0013991,            0.001486,            0.001486,            0.001486
                  88,            0.016386,            0.038069,           0.0075146,             0.95938,             0.97091,              0.9861,             0.83825,           0.0091482,            0.018567,           0.0014607,            0.001387,            0.001387,            0.001387
                  89,            0.015089,            0.035257,           0.0065999,               0.954,             0.97096,             0.98586,             0.84324,           0.0090903,            0.018329,           0.0015386,            0.001288,            0.001288,            0.001288
                  90,            0.014333,            0.033937,           0.0065241,             0.95283,             0.97096,             0.98651,             0.83953,           0.0090313,             0.01833,           0.0013332,            0.001189,            0.001189,            0.001189
                  91,            0.014738,            0.033005,           0.0066417,             0.96355,              0.9754,             0.98671,             0.84265,           0.0088723,            0.018243,           0.0013019,             0.00109,             0.00109,             0.00109
                  92,            0.014106,             0.03153,           0.0060199,             0.95533,             0.97282,             0.98648,             0.84235,           0.0090057,            0.018193,           0.0012919,            0.000991,            0.000991,            0.000991
                  93,            0.013288,            0.030935,           0.0053039,             0.96207,             0.97017,             0.98689,             0.84464,           0.0090091,            0.018201,           0.0012404,            0.000892,            0.000892,            0.000892
                  94,            0.013582,            0.034409,           0.0054371,             0.96271,             0.96705,             0.98684,             0.84697,           0.0088255,            0.018048,           0.0012945,            0.000793,            0.000793,            0.000793
                  95,            0.015099,            0.038016,           0.0068734,             0.95364,             0.96429,             0.98554,             0.84323,           0.0089731,            0.018022,           0.0015414,            0.000694,            0.000694,            0.000694
                  96,            0.014715,            0.039277,            0.006461,             0.95559,             0.96977,             0.98599,             0.84659,           0.0088413,            0.017924,           0.0013504,            0.000595,            0.000595,            0.000595
                  97,            0.015099,             0.03906,           0.0067878,              0.9573,             0.96962,             0.98654,              0.8434,            0.008839,            0.017948,           0.0013459,            0.000496,            0.000496,            0.000496
                  98,            0.014271,            0.034381,           0.0058624,               0.963,             0.96791,             0.98667,             0.84607,           0.0089246,             0.01794,           0.0013434,            0.000397,            0.000397,            0.000397
                  99,            0.014313,            0.035839,            0.005878,             0.95784,             0.97018,             0.98684,             0.84719,           0.0088033,            0.017897,           0.0013079,            0.000298,            0.000298,            0.000298
